Country,Country_ISO3,Region,Theme,Plan name,SP_Label,Strategic priority code,Agencies
Philippines,PHL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PHL_environment_1,1.0,World Health Organization
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_1,1.0,United Nations Children's Fund
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_1,1.0,United Nations Children's Fund; World Health Organization
Indonesia,IDN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IDN_environment_1,1.0,United Nations World Food Programme
Mongolia,MNG,Asia Pacific,environment,United Nations Development Assistance Framework,MNG_environment_1,1.0,United Nations Industrial Development Organization
Indonesia,IDN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IDN_environment_1,1.0,Food and Agriculture Organization of the United Nations
Mongolia,MNG,Asia Pacific,environment,United Nations Development Assistance Framework,MNG_environment_1,1.0,United Nations Development Programme
India,IND,Asia Pacific,environment,United Nations Development Assistance Framework,IND_environment_1,1.0,United Nations Development Programme
Indonesia,IDN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IDN_environment_1,1.0,Food and Agriculture Organization of the United Nations
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,United Nations Development Programme
Pakistan,PAK,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PAK_environment_1,1.0,United Nations Joint Programme on HIV and AIDS Secretariat; United Nations Population Fund
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_1,1.0,World Health Organization
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_1,1.0,United Nations Children's Fund
Indonesia,IDN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IDN_environment_1,1.0,International Labour Organisation; The World Bank; UN Women; United Nations Children's Fund; United Nations Development Programme; United Nations High Commissioner for Refugees; United Nations Joint Programme on HIV and AIDS Secretariat; United Nations Office on Drugs and Crime; United Nations Population Fund; World Health Organization
India,IND,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IND_environment_1,1.0,World Health Organization
Thailand,THA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,THA_environment_1,1.0,United Nations Environment Programme
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,International Fund for Agricultural Development
Papua New Guinea,PNG,Asia Pacific,environment,United Nations Development Assistance Framework,PNG_environment_1,1.0,Food and Agriculture Organization of the United Nations
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_1,1.0,United Nations Children's Fund; World Health Organization
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,World Health Organization
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_1,1.0,World Health Organization
Nepal,NPL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,NPL_environment_1,1.0,United Nations Development Programme
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,United Nations Children's Fund
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_1,1.0,United Nations Children's Fund; United Nations Joint Programme on HIV and AIDS Secretariat
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,International Labour Organisation
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_1,1.0,United Nations Children's Fund
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_2,2.0,United Nations Children's Fund
Afghanistan,AFG,Asia Pacific,environment,United Nations Development Assistance Framework,AFG_environment_1,1.0,United Nations Children's Fund
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_1,1.0,United Nations Children's Fund
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_2,2.0,United Nations Children's Fund
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_4,4.0,World Health Organization
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,Food and Agriculture Organization of the United Nations
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_4,4.0,United Nations Children's Fund
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,United Nations Children's Fund
Bangladesh,BGD,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BGD_environment_1,1.0,"United Nations Educational, Scientific and Cultural Organisation"
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,United Nations Human Settlement Programme
Pakistan,PAK,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PAK_environment_1,1.0,United Nations Children's Fund
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,United Nations Development Programme
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,United Nations Development Programme
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,United Nations Development Programme
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,United Nations Environment Programme
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_1,1.0,United Nations Children's Fund
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_1,1.0,United Nations Children's Fund
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,United Nations Development Programme
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_2,2.0,United Nations Children's Fund
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,United Nations Children's Fund
Pakistan,PAK,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PAK_environment_1,1.0,United Nations World Food Programme
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_2,2.0,United Nations Children's Fund
Pakistan,PAK,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PAK_environment_1,1.0,United Nations High Commissioner for Refugees
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,United Nations Development Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,United Nations Development Programme
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,United Nations Children's Fund
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_2,2.0,United Nations Development Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,United Nations Development Programme
Thailand,THA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,THA_environment_3,3.0,International Labour Organisation
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,United Nations Industrial Development Organization
Timor-Leste,TLS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,TLS_environment_3,3.0,United Nations Population Fund
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_2,2.0,International Trade Centre
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_1,1.0,International Organization for Migration
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_3,3.0,Food and Agriculture Organization of the United Nations; United Nations Development Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,United Nations Development Programme
Afghanistan,AFG,Asia Pacific,environment,United Nations Development Assistance Framework,AFG_environment_2,2.0,Food and Agriculture Organization of the United Nations
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,United Nations Development Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,United Nations Industrial Development Organization
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_4,4.0,International Organization for Migration
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_3,3.0,United Nations Children's Fund
Afghanistan,AFG,Asia Pacific,environment,United Nations Development Assistance Framework,AFG_environment_1,1.0,World Health Organization
Afghanistan,AFG,Asia Pacific,environment,United Nations Development Assistance Framework,AFG_environment_1,1.0,United Nations High Commissioner for Refugees
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,United Nations Development Programme; United Nations Human Settlement Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_3,3.0,United Nations Environment Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_3,3.0,United Nations Development Programme
Afghanistan,AFG,Asia Pacific,environment,United Nations Development Assistance Framework,AFG_environment_2,2.0,Food and Agriculture Organization of the United Nations
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_1,1.0,United Nations Development Programme; World Health Organization
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_2,2.0,United Nations Children's Fund
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,United Nations Development Programme
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_2,2.0,Food and Agriculture Organization of the United Nations; United Nations Environment Programme; United Nations Office on Drugs and Crime
Thailand,THA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,THA_environment_1,1.0,United Nations Development Programme
Maldives,MDV,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MDV_environment_2,2.0,World Health Organization
Maldives,MDV,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MDV_environment_1,1.0,United Nations Children's Fund
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,International Labour Organisation; UN Women
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,United Nations Development Programme
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,United Nations Children's Fund
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,United Nations Children's Fund
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,International Fund for Agricultural Development; UN Women
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,United Nations Industrial Development Organization
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,United Nations Environment Programme
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,United Nations Environment Programme
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,United Nations Environment Programme
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,Food and Agriculture Organization of the United Nations
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,United Nations Human Settlement Programme
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,UN Women
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,United Nations Environment Programme
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_3,3.0,United Nations Children's Fund; United Nations Global Compact
Maldives,MDV,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MDV_environment_1,1.0,Food and Agriculture Organization of the United Nations
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,International Labour Organisation; UN Women
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,United Nations Development Programme
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,United Nations Children's Fund
Maldives,MDV,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MDV_environment_1,1.0,United Nations Children's Fund
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,United Nations Children's Fund
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,International Fund for Agricultural Development; UN Women
Maldives,MDV,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MDV_environment_2,2.0,"United Nations Educational, Scientific and Cultural Organisation"
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,United Nations Industrial Development Organization; United Nations Office for Disaster Risk Reduction
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,United Nations Environment Programme
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,United Nations Environment Programme
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,United Nations Environment Programme
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,Food and Agriculture Organization of the United Nations
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,United Nations Human Settlement Programme
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,UN Women
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,United Nations Environment Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,United Nations Development Programme
Thailand,THA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,THA_environment_3,3.0,United Nations Human Settlement Programme
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_1,1.0,Food and Agriculture Organization of the United Nations
Philippines,PHL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PHL_environment_2,2.0,International Labour Organisation
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_2,2.0,United Nations Population Fund
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,Food and Agriculture Organization of the United Nations; International Fund for Agricultural Development; International Labour Organisation; UN Women; United Nations Children's Fund; United Nations Development Programme
Mongolia,MNG,Asia Pacific,environment,United Nations Development Assistance Framework,MNG_environment_2,2.0,World Health Organization
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,United Nations Children's Fund
India,IND,Asia Pacific,environment,United Nations Development Assistance Framework,IND_environment_2,2.0,United Nations Children's Fund; United Nations Population Fund; World Health Organization
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_2,2.0,International Fund for Agricultural Development
Pakistan,PAK,Asia Pacific,environment,United Nations Development Assistance Framework,PAK_environment_2,2.0,International Labour Organisation
Nepal,NPL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,NPL_environment_2,2.0,United Nations Population Fund
Bhutan,BTN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BTN_environment_2,2.0,United Nations Population Fund
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_2,2.0,United Nations Development Programme
Mongolia,MNG,Asia Pacific,environment,United Nations Development Assistance Framework,MNG_environment_2,2.0,World Health Organization
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_1,1.0,United Nations Development Programme
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,United Nations Industrial Development Organization
Indonesia,IDN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IDN_environment_2,2.0,"United Nations Educational, Scientific and Cultural Organisation"
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,International Organization for Migration
Indonesia,IDN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IDN_environment_2,2.0,International Labour Organisation
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_2,2.0,United Nations Children's Fund
India,IND,Asia Pacific,environment,United Nations Development Assistance Framework,IND_environment_2,2.0,World Health Organization
India,IND,Asia Pacific,environment,United Nations Development Assistance Framework,IND_environment_2,2.0,United Nations Children's Fund; World Health Organization
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_3,3.0,"United Nations Educational, Scientific and Cultural Organisation"
Thailand,THA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,THA_environment_1,1.0,International Organization for Migration
Philippines,PHL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PHL_environment_2,2.0,United Nations Industrial Development Organization
Philippines,PHL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PHL_environment_2,2.0,United Nations Industrial Development Organization
"Iran, Islamic Republic of",IRN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IRN_environment_2,2.0,World Health Organization
Bangladesh,BGD,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BGD_environment_2,2.0,United Nations Children's Fund
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,United Nations Environment Programme
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,United Nations Children's Fund
"Iran, Islamic Republic of",IRN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IRN_environment_2,2.0,United Nations Population Fund
Nepal,NPL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,NPL_environment_2,2.0,"United Nations Educational, Scientific and Cultural Organisation"
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_2,2.0,United Nations Children's Fund
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,United Nations Environment Programme
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,United Nations Environment Programme
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_2,2.0,Food and Agriculture Organization of the United Nations
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,United Nations Industrial Development Organization
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_1,1.0,Food and Agriculture Organization of the United Nations; United Nations Children's Fund; United Nations World Food Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_1,1.0,"United Nations Educational, Scientific and Cultural Organisation"
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_3,3.0,International Labour Organisation
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,Food and Agriculture Organization of the United Nations
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_4,4.0,United Nations Joint Programme on HIV and AIDS Secretariat
Philippines,PHL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PHL_environment_2,2.0,United Nations High Commissioner for Refugees
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_1,1.0,United Nations Industrial Development Organization
Bangladesh,BGD,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BGD_environment_2,2.0,World Health Organization
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,United Nations Environment Programme; United Nations Office on Drugs and Crime
Bhutan,BTN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BTN_environment_2,2.0,United Nations World Food Programme
Bhutan,BTN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BTN_environment_2,2.0,United Nations World Food Programme
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_2,2.0,Food and Agriculture Organization of the United Nations
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_2,2.0,Food and Agriculture Organization of the United Nations
Bhutan,BTN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BTN_environment_2,2.0,United Nations World Food Programme
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,United Nations Children's Fund
Bhutan,BTN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BTN_environment_2,2.0,United Nations Children's Fund
Bhutan,BTN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BTN_environment_2,2.0,United Nations World Food Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_1,1.0,United Nations World Food Programme
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,Food and Agriculture Organization of the United Nations
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_4,4.0,United Nations Development Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_1,1.0,United Nations Children's Fund
Philippines,PHL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PHL_environment_2,2.0,International Labour Organisation
Philippines,PHL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PHL_environment_2,2.0,UN Women
Nepal,NPL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,NPL_environment_2,2.0,United Nations Population Fund
Pakistan,PAK,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PAK_environment_2,2.0,International Labour Organisation; UN Women; United Nations Industrial Development Organization; United Nations Population Fund
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,United Nations Development Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,United Nations Industrial Development Organization
Philippines,PHL,Asia Pacific,environment,United Nations Development Assistance Framework,PHL_environment_2,2.0,United Nations Industrial Development Organization
Philippines,PHL,Asia Pacific,environment,United Nations Development Assistance Framework,PHL_environment_3,3.0,United Nations World Food Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,United Nations Development Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,United Nations Industrial Development Organization
Thailand,THA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,THA_environment_1,1.0,Food and Agriculture Organization of the United Nations
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_3,3.0,United Nations Human Settlement Programme
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_3,3.0,United Nations World Food Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_2,2.0,United Nations Development Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,United Nations Environment Programme
Afghanistan,AFG,Asia Pacific,environment,United Nations Development Assistance Framework,AFG_environment_2,2.0,United Nations Human Settlement Programme
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_1,1.0,"United Nations Educational, Scientific and Cultural Organisation"
"Iran, Islamic Republic of",IRN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IRN_environment_3,3.0,World Health Organization
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_1,1.0,Food and Agriculture Organization of the United Nations
Afghanistan,AFG,Asia Pacific,environment,United Nations Development Assistance Framework,AFG_environment_2,2.0,United Nations Children's Fund
Thailand,THA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,THA_environment_1,1.0,World Health Organization
Afghanistan,AFG,Asia Pacific,environment,United Nations Development Assistance Framework,AFG_environment_1,1.0,World Health Organization
Philippines,PHL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PHL_environment_3,3.0,United Nations Human Settlement Programme
