Country,Country_ISO3,Region,Theme,Plan name,SP_Label,Strategic priority code,SDG Goals
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_3,3.0,3 Good Health and Well-being; 13 Climate Action
Afghanistan,AFG,Asia Pacific,environment,United Nations Development Assistance Framework,AFG_environment_1,1.0,3 Good Health and Well-being
Afghanistan,AFG,Asia Pacific,environment,United Nations Development Assistance Framework,AFG_environment_1,1.0,1 No Poverty
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,15 Life on Land
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_3,3.0,14 Life Below Water
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_3,3.0,13 Climate Action; 15 Life on Land
Afghanistan,AFG,Asia Pacific,environment,United Nations Development Assistance Framework,AFG_environment_2,2.0,1 No Poverty; 2 Zero Hunger; 6 Clean Water and Sanitation; 12 Responsible Consumption and Production; 15 Life on Land
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_1,1.0,1 No Poverty; 3 Good Health and Well-being; 16 Peace and Justice - Strong Institutions
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_2,2.0,13 Climate Action; 16 Peace and Justice - Strong Institutions
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,13 Climate Action
Malaysia,MYS,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MYS_environment_2,2.0,3 Good Health and Well-being
Thailand,THA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,THA_environment_1,1.0,1 No Poverty; 13 Climate Action; 14 Life Below Water
Maldives,MDV,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MDV_environment_2,2.0,3 Good Health and Well-being; 6 Clean Water and Sanitation; 11 Sustainable Cities and Communities; 13 Climate Action
Maldives,MDV,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MDV_environment_1,1.0,4 Quality Education
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,8 Decent Jobs and Economic Growth
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,2 Zero Hunger
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,3 Good Health and Well-being
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,1 No Poverty; 4 Quality Education
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,1 No Poverty; 2 Zero Hunger; 5 Gender Equality; 8 Decent Jobs and Economic Growth
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,13 Climate Action
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,12 Responsible Consumption and Production; 13 Climate Action
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,12 Responsible Consumption and Production; 17 Partnerships for the Goals
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,7 Affordable and Clean Energy; 12 Responsible Consumption and Production; 13 Climate Action
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,15 Life on Land
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,11 Sustainable Cities and Communities
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,1 No Poverty; 2 Zero Hunger; 5 Gender Equality; 8 Decent Jobs and Economic Growth; 17 Partnerships for the Goals
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,12 Responsible Consumption and Production; 17 Partnerships for the Goals
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_3,3.0,5 Gender Equality
Maldives,MDV,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MDV_environment_1,1.0,"9 Industry, Innovation and Infrastructure"
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,8 Decent Jobs and Economic Growth
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,2 Zero Hunger
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,3 Good Health and Well-being
Maldives,MDV,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MDV_environment_1,1.0,4 Quality Education
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,1 No Poverty; 4 Quality Education
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,1 No Poverty; 2 Zero Hunger; 5 Gender Equality; 8 Decent Jobs and Economic Growth
Maldives,MDV,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MDV_environment_2,2.0,11 Sustainable Cities and Communities; 12 Responsible Consumption and Production
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,13 Climate Action
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,12 Responsible Consumption and Production; 13 Climate Action
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,12 Responsible Consumption and Production; 17 Partnerships for the Goals
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,7 Affordable and Clean Energy; 12 Responsible Consumption and Production; 13 Climate Action
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,15 Life on Land
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,11 Sustainable Cities and Communities
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,1 No Poverty; 2 Zero Hunger; 5 Gender Equality; 8 Decent Jobs and Economic Growth; 17 Partnerships for the Goals
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_2,2.0,12 Responsible Consumption and Production; 17 Partnerships for the Goals
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,1 No Poverty
Thailand,THA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,THA_environment_3,3.0,11 Sustainable Cities and Communities
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_1,1.0,2 Zero Hunger; 13 Climate Action
Philippines,PHL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PHL_environment_2,2.0,"8 Decent Jobs and Economic Growth; 9 Industry, Innovation and Infrastructure"
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_2,2.0,8 Decent Jobs and Economic Growth
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,13 Climate Action
Mongolia,MNG,Asia Pacific,environment,United Nations Development Assistance Framework,MNG_environment_2,2.0,6 Clean Water and Sanitation
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,13 Climate Action
India,IND,Asia Pacific,environment,United Nations Development Assistance Framework,IND_environment_2,2.0,3 Good Health and Well-being
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_2,2.0,2 Zero Hunger
Pakistan,PAK,Asia Pacific,environment,United Nations Development Assistance Framework,PAK_environment_2,2.0,8 Decent Jobs and Economic Growth
Nepal,NPL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,NPL_environment_2,2.0,3 Good Health and Well-being; 5 Gender Equality
Bhutan,BTN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BTN_environment_2,2.0,5 Gender Equality
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_2,2.0,8 Decent Jobs and Economic Growth
Mongolia,MNG,Asia Pacific,environment,United Nations Development Assistance Framework,MNG_environment_2,2.0,3 Good Health and Well-being
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_1,1.0,11 Sustainable Cities and Communities
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,"9 Industry, Innovation and Infrastructure"
Indonesia,IDN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IDN_environment_2,2.0,8 Decent Jobs and Economic Growth
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,13 Climate Action
Indonesia,IDN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IDN_environment_2,2.0,8 Decent Jobs and Economic Growth
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_2,2.0,4 Quality Education
India,IND,Asia Pacific,environment,United Nations Development Assistance Framework,IND_environment_2,2.0,3 Good Health and Well-being
India,IND,Asia Pacific,environment,United Nations Development Assistance Framework,IND_environment_2,2.0,3 Good Health and Well-being
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_3,3.0,11 Sustainable Cities and Communities
Thailand,THA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,THA_environment_1,1.0,10 Reduced Inequalities; 13 Climate Action
Philippines,PHL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PHL_environment_2,2.0,"9 Industry, Innovation and Infrastructure"
Philippines,PHL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PHL_environment_2,2.0,3 Good Health and Well-being
"Iran, Islamic Republic of",IRN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IRN_environment_2,2.0,3 Good Health and Well-being
Bangladesh,BGD,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BGD_environment_2,2.0,6 Clean Water and Sanitation
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,12 Responsible Consumption and Production
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,3 Good Health and Well-being
"Iran, Islamic Republic of",IRN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,IRN_environment_2,2.0,3 Good Health and Well-being
Nepal,NPL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,NPL_environment_2,2.0,4 Quality Education; 5 Gender Equality
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_2,2.0,7 Affordable and Clean Energy
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,-
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,12 Responsible Consumption and Production
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_2,2.0,"9 Industry, Innovation and Infrastructure"
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,"9 Industry, Innovation and Infrastructure"
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_1,1.0,2 Zero Hunger
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_1,1.0,4 Quality Education
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_3,3.0,8 Decent Jobs and Economic Growth
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,2 Zero Hunger
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_4,4.0,3 Good Health and Well-being; 17 Partnerships for the Goals
Philippines,PHL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PHL_environment_2,2.0,1 No Poverty
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_1,1.0,"9 Industry, Innovation and Infrastructure"
Bangladesh,BGD,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BGD_environment_2,2.0,3 Good Health and Well-being
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,12 Responsible Consumption and Production; 15 Life on Land
Bhutan,BTN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BTN_environment_2,2.0,2 Zero Hunger
Bhutan,BTN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BTN_environment_2,2.0,2 Zero Hunger
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_2,2.0,2 Zero Hunger
Mongolia,MNG,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,MNG_environment_2,2.0,"9 Industry, Innovation and Infrastructure"
Bhutan,BTN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BTN_environment_2,2.0,2 Zero Hunger
China,CHN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,CHN_environment_1,1.0,1 No Poverty; 4 Quality Education
Bhutan,BTN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BTN_environment_2,2.0,3 Good Health and Well-being
Bhutan,BTN,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,BTN_environment_2,2.0,2 Zero Hunger
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_1,1.0,2 Zero Hunger
Lao People's Democratic Republic,LAO,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LAO_environment_1,1.0,-
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_4,4.0,2 Zero Hunger
Cambodia,KHM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,KHM_environment_1,1.0,3 Good Health and Well-being; 4 Quality Education; 5 Gender Equality
Philippines,PHL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PHL_environment_2,2.0,8 Decent Jobs and Economic Growth; 10 Reduced Inequalities
Philippines,PHL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PHL_environment_2,2.0,5 Gender Equality; 8 Decent Jobs and Economic Growth
Nepal,NPL,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,NPL_environment_2,2.0,5 Gender Equality
Pakistan,PAK,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,PAK_environment_2,2.0,5 Gender Equality
Viet Nam,VNM,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,VNM_environment_2,2.0,1 No Poverty; 2 Zero Hunger; 3 Good Health and Well-being; 8 Decent Jobs and Economic Growth; 11 Sustainable Cities and Communities; 13 Climate Action
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,"7 Affordable and Clean Energy; 9 Industry, Innovation and Infrastructure; 12 Responsible Consumption and Production; 13 Climate Action"
Philippines,PHL,Asia Pacific,environment,United Nations Development Assistance Framework,PHL_environment_2,2.0,3 Good Health and Well-being; 12 Responsible Consumption and Production
Philippines,PHL,Asia Pacific,environment,United Nations Development Assistance Framework,PHL_environment_3,3.0,2 Zero Hunger; 17 Partnerships for the Goals
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,17 Partnerships for the Goals
Cambodia,KHM,Asia Pacific,environment,United Nations Development Assistance Framework,KHM_environment_3,3.0,"9 Industry, Innovation and Infrastructure"
Thailand,THA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,THA_environment_1,1.0,15 Life on Land
Sri Lanka,LKA,Asia Pacific,environment,United Nations Sustainable Development Cooperation Framework,LKA_environment_3,3.0,11 Sustainable Cities and Communities
